,species,mass,Molecular_Weight,GC_Content
0,Aptenodytes forsteri,28.0,42459.60210000002,13.421052631578947
1,Aptenodytes patagonicus,13.4,42459.60210000002,13.421052631578947
2,Eudyptes chrysocome,2.8,42459.60210000002,13.421052631578947
3,Eudyptes chrysolophus,4.5,42459.60210000002,13.421052631578947
4,Eudyptes sclateri,4.25,42459.60210000002,13.421052631578947
5,Eudyptula minor,1.6,42459.60210000002,13.421052631578947
6,Pygoscelis adeliae,4.6,42459.60210000002,13.421052631578947
7,Pygoscelis antarctica,4.1,42459.60210000002,13.421052631578947
8,Pygoscelis papua,6.1,42459.60210000002,13.421052631578947
9,Spheniscus demersus,3.2,42459.60210000002,13.421052631578947
10,Spheniscus humboldti,4.75,42459.60210000002,13.421052631578947
11,Spheniscus magellanicus,3.4,42459.60210000002,13.421052631578947
